name,region,hemisphere,tissue,Y
37635,45,right,white,RW
37636,45,right,white,RW
37637,62,right,white,RW
37638,62,right,white,RW
37639,47,right,white,RW
37640,47,right,white,RW
37641,47,right,gray,RG
37642,47,right,gray,RG
37643,47,right,white,RW
37644,47,right,white,RW
37645,47,right,gray,RG
37646,47,right,gray,RG
37651,12,left,white,LW
37652,12,left,white,LW
37653,12,left,white,LW
37654,12,left,white,LW
37655,12,left,white,LW
37656,31,left,white,LW
37657,10,left,white,LW
37658,3,left,white,LW
37659,3,left,white,LW
37660,3,left,white,LW
37663,3,left,gray,LG
37664,3,left,gray,LG
37665,3,left,white,LW
37667,3,left,gray,LG
37668,32,left,gray,LG
37672,52,right,gray,RG
37674,52,right,gray,RG
37675,38,right,white,RW
37676,38,right,white,RW
37677,45,right,white,RW
37678,45,right,white,RW
37679,45,right,white,RW
37680,45,right,white,RW
37681,45,right,white,RW
37682,62,right,white,RW
37683,62,right,white,RW
37684,62,right,white,RW
37685,62,right,white,RW
37686,62,right,gray,RG
37687,47,right,gray,RG
37689,62,right,white,RW
37690,62,right,gray,RG
37696,12,left,white,LW
37698,27,left,gray,LG
37699,27,left,white,LW
37700,12,left,white,LW
37701,31,left,white,LW
37702,31,left,white,LW
37703,10,left,white,LW
37704,10,left,white,LW
37705,10,left,white,LW
37706,3,left,gray,LG
37717,52,right,gray,RG
37718,52,right,gray,RG
37719,52,right,white,RW
37720,52,right,white,RW
37721,52,right,white,RW
37722,52,right,gray,RG
37723,45,right,gray,RG
37724,45,right,gray,RG
37725,45,right,white,RW
37726,45,right,white,RW
37727,62,right,white,RW
37728,62,right,white,RW
37729,62,right,white,RW
37730,62,right,white,RW
37731,62,right,gray,RG
37743,27,left,gray,LG
37744,27,left,white,LW
37745,27,left,white,LW
37746,31,left,white,LW
37747,10,left,white,LW
37748,10,left,white,LW
37749,10,left,white,LW
37750,10,left,white,LW
37751,10,left,white,LW
37752,10,left,gray,LG
37762,52,right,gray,RG
37763,52,right,gray,RG
37764,52,right,gray,RG
37765,45,right,gray,RG
37767,45,right,gray,RG
37769,45,right,gray,RG
37770,45,right,white,RW
