name,region,hemisphere,tissue,Y
39458,2,left,white,LW
39459,2,left,white,LW
39460,2,left,gray,LG
39462,24,left,gray,LG
39484,37,right,gray,RG
39485,37,right,gray,RG
39486,37,right,white,RW
39487,37,right,white,RW
39488,37,right,white,RW
39489,37,right,white,RW
39490,37,right,white,RW
39491,37,right,gray,RG
39492,41,right,white,RW
39493,37,right,gray,RG
39499,2,left,gray,LG
39500,2,left,white,LW
39501,2,left,white,LW
39502,2,left,white,LW
39503,2,left,white,LW
39504,2,left,white,LW
39505,2,left,white,LW
39506,2,left,white,LW
39507,2,left,gray,LG
39508,36,left,gray,LG
39509,36,left,gray,LG
39510,36,left,gray,LG
39515,33,left,gray,LG
39516,32,left,gray,LG
39531,71,right,gray,RG
39532,71,right,gray,RG
39533,37,right,gray,RG
39534,37,right,white,RW
39535,37,right,white,RW
39536,37,right,white,RW
39537,37,right,white,RW
39538,37,right,white,RW
39539,37,right,gray,RG
39540,37,right,gray,RG
39545,2,left,gray,LG
39546,2,left,gray,LG
39547,2,left,white,LW
39548,2,left,white,LW
39549,2,left,white,LW
39550,2,left,white,LW
39551,2,left,white,LW
39552,2,left,gray,LG
39553,36,left,gray,LG
39554,36,left,gray,LG
39555,36,left,gray,LG
39556,36,left,gray,LG
39568,67,right,gray,RG
39569,67,right,gray,RG
39570,67,right,white,RW
39571,67,right,white,RW
39572,67,right,white,RW
39573,67,right,white,RW
39574,67,right,gray,RG
39575,67,right,gray,RG
39576,67,right,gray,RG
39578,71,right,gray,RG
39579,71,right,white,RW
39580,37,right,white,RW
39581,37,right,white,RW
39582,37,right,white,RW
39583,37,right,white,RW
39584,37,right,gray,RG
39585,37,right,gray,RG
39586,37,right,gray,RG
39589,2,left,white,LW
39590,2,left,white,LW
39593,2,left,gray,LG
39594,2,left,gray,LG
39595,2,left,gray,LG
39596,2,left,gray,LG
39597,2,left,white,LW
39598,2,left,white,LW
39599,2,left,white,LW
39600,36,left,white,LW
39601,36,left,white,LW
39602,36,left,gray,LG
39603,36,left,gray,LG
39616,67,right,gray,RG
39617,67,right,gray,RG
39618,67,right,gray,RG
39619,67,right,gray,RG
39620,38,right,gray,RG
39621,67,right,white,RW
39622,67,right,white,RW
39623,67,right,gray,RG
39624,67,right,gray,RG
39625,67,right,gray,RG
39626,68,right,gray,RG
39627,68,right,white,RW
39628,68,right,white,RW
39629,37,right,white,RW
39634,37,right,white,RW
39635,37,right,white,RW
39636,37,right,white,RW
39637,37,right,white,RW
39638,2,left,white,LW
39639,2,left,white,LW
39640,2,left,white,LW
39641,2,left,white,LW
39646,2,left,white,LW
39647,2,left,white,LW
39648,36,left,white,LW
39649,32,left,white,LW
39650,32,left,gray,LG
39651,32,left,gray,LG
39652,33,left,gray,LG
39653,33,left,gray,LG
39654,32,left,gray,LG
39655,32,left,gray,LG
39656,32,left,gray,LG
39664,67,right,gray,RG
39665,38,right,gray,RG
39666,38,right,gray,RG
39667,38,right,gray,RG
39668,38,right,gray,RG
39669,38,right,gray,RG
39670,38,right,white,RW
39671,38,right,white,RW
39672,68,right,white,RW
39673,68,right,white,RW
39674,68,right,white,RW
39675,68,right,white,RW
39676,68,right,white,RW
39681,37,right,white,RW
39682,37,right,white,RW
39683,37,right,white,RW
39684,37,right,white,RW
39685,37,right,white,RW
39686,2,left,white,LW
39687,2,left,white,LW
39688,2,left,white,LW
39689,2,left,white,LW
39690,2,left,white,LW
39695,2,left,white,LW
39696,32,left,white,LW
39697,32,left,white,LW
39698,32,left,gray,LG
39699,32,left,gray,LG
39700,32,left,gray,LG
39701,32,left,gray,LG
39702,32,left,gray,LG
39703,32,left,gray,LG
39704,32,left,gray,LG
39705,32,left,gray,LG
39706,32,left,gray,LG
39707,32,left,gray,LG
39712,67,right,gray,RG
39713,67,right,white,RW
39714,38,right,gray,RG
39715,38,right,gray,RG
39716,38,right,gray,RG
39718,38,right,white,RW
39719,38,right,white,RW
39720,38,right,white,RW
39721,68,right,white,RW
39722,68,right,white,RW
39723,68,right,white,RW
39724,68,right,white,RW
39727,37,right,white,RW
